ADJUSTED G VALUE,,,,,787-8 RAW DATA FROM PIANO X,,,,787-9 NO PREADJUSTED FUEL BURNT & ROC,,,,,787-9 PREADJUSTED FUEL BURNT & ROC (x1.08 & x0.92),,,
Stan. G (m/s^2),9.80665,,,,,,,,,,,,,,,,
Earth radius (m) ,63710088,,,,,,,,,,,,,,,,
Altitude (feet) ,Altitude (m)*,Adjusted G*,RANGE,MASS INIT (KG) ,Fuel Burnt (kg) ,Altitude (feet) ,ROC (feet/min) ,,Fuel Burnt (kg) ,Weight (N)*,Altitude (feet) ,ROC (feet/min),,Fuel Burnt (kg)* ,Weight (N)*,Altitude (feet) ,ROC (feet/min)*
10309,3142.183099,9.805682743,,,10309,36947,765,,10309,1971520.767,36947,765,,11133.72,1963433.824,36947,703.8
10325.6,3147.242779,9.805681186,,,10325.6,37053,748,,10325.6,1971357.679,37053,748,,11151.648,1963257.716,37053,688.16
10342.6,3152.424379,9.805679591,,,10342.6,37158,730,,10342.6,1971190.662,37158,730,,11170.008,1963077.364,37158,671.6
10359.8,3157.666939,9.805677977,,,10359.8,37263,712,,10359.8,1971021.68,37263,712,,11188.584,1962894.891,37263,655.04
10377.4,3163.031419,9.805676326,,,10377.4,37368,694,,10377.4,1970848.768,37368,694,,11207.592,1962708.174,37368,638.48
10395.3,3168.487339,9.805674647,,,10395.3,37474,676,,10395.3,1970672.909,37474,676,,11226.924,1962518.275,37474,621.92
10413.6,3174.065178,9.80567293,,,10413.6,37579,658,,10413.6,1970493.12,37579,658,,11246.688,1962324.132,37579,605.36
10432.4,3179.795418,9.805671166,,,10432.4,37684,639,,10432.4,1970308.419,37684,639,,11266.992,1962124.684,37684,587.88
10451.6,3185.647578,9.805669364,,,10451.6,37789,620,,10451.6,1970119.788,37789,620,,11287.728,1961920.994,37789,570.4
10471.2,3191.621658,9.805667526,,,10471.2,37895,601,,10471.2,1969927.228,37895,601,,11308.896,1961713.059,37895,552.92
10491.4,3197.778618,9.80566563,,,10491.4,38000,582,,10491.4,1969728.773,38000,582,,11330.712,1961498.76,38000,535.44
28694.5,8746.08332,9.803958052,,,28694.5,38000,875,,28694.5,1790923.331,38000,875,,30990.06,1768417.757,38000,805
28708.2,8750.25908,9.803956767,,,28708.2,38105,857,,28708.2,1790788.782,38105,857,,31004.856,1768272.466,38105,788.44
28722.1,8754.4958,9.803955463,,,28722.1,38211,839,,28722.1,1790652.269,38211,839,,31019.868,1768125.054,38211,771.88
28736.2,8758.79348,9.803954141,,,28736.2,38316,822,,28736.2,1790513.792,38316,822,,31035.096,1767975.521,38316,756.24
28750.6,8763.1826,9.80395279,,,28750.6,38421,803,,28750.6,1790372.368,38421,803,,31050.648,1767822.806,38421,738.76
28765.2,8767.632679,9.803951421,,,28765.2,38526,785,,28765.2,1790228.981,38526,785,,31066.416,1767667.971,38526,722.2
28780,8772.143719,9.803950033,,,28780,38632,767,,28780,1790083.629,38632,767,,31082.4,1767511.014,38632,705.64
28795.2,8776.776679,9.803948607,,,28795.2,38737,748,,28795.2,1789934.348,38737,748,,31098.816,1767349.815,38737,688.16
28810.6,8781.470599,9.803947163,,,28810.6,38842,729,,28810.6,1789783.104,38842,729,,31115.448,1767186.496,38842,670.68
28826.3,8786.255959,9.80394569,,,28826.3,38947,711,,28826.3,1789628.913,38947,711,,31132.404,1767019.995,38947,654.12
28842.3,8791.132759,9.803944189,,,28842.3,39053,694,,28842.3,1789471.776,39053,694,,31149.684,1766850.312,39053,638.48
28858.6,8796.100999,9.80394266,,,28858.6,39158,679,,28858.6,1789311.693,39158,679,,31167.288,1766677.448,39158,624.68
28875.2,8801.160678,9.803941103,,,28875.2,39263,664,,28875.2,1789148.663,39263,664,,31185.216,1766501.402,39263,610.88
28892.1,8806.311798,9.803939518,,,28892.1,39368,649,,28892.1,1788982.687,39368,649,,31203.468,1766322.175,39368,597.08
28909.4,8811.584838,9.803937896,,,28909.4,39474,633,,28909.4,1788812.783,39474,633,,31222.152,1766138.706,39474,582.36
28927,8816.949318,9.803936245,,,28927,39579,618,,28927,1788639.932,39579,618,,31241.16,1765952.055,39579,568.56
28944.9,8822.405238,9.803934566,,,28944.9,39684,602,,28944.9,1788464.136,39684,602,,31260.492,1765762.223,39684,553.84
28963.3,8828.013558,9.80393284,,,28963.3,39789,586,,28963.3,1788283.429,39789,586,,31280.364,1765567.089,39789,539.12
28982.1,8833.743797,9.803931077,,,28982.1,39895,570,,28982.1,1788098.793,39895,570,,31300.668,1765367.712,39895,524.4
29001.3,8839.595957,9.803929276,,,29001.3,40000,553,,29001.3,1787910.229,40000,553,,31321.404,1765164.094,40000,508.76
51596.9,15726.73462,9.80181028,,,51596.9,40000,947,,51596.9,1566046.01,40000,947,,55724.652,1525586.568,40000,871.24
51614.1,15731.97718,9.801808667,,,51614.1,40158,926,,51614.1,1565877.162,40158,926,,55743.228,1525404.239,40158,851.92
51631.6,15737.31118,9.801807026,,,51631.6,40316,904,,51631.6,1565705.368,40316,904,,55762.128,1525218.73,40316,831.68
51649.4,15742.73662,9.801805357,,,51649.4,40474,883,,51649.4,1565530.629,40474,883,,55781.352,1525030.04,40474,812.36
51667.5,15748.2535,9.80180366,,,51667.5,40632,860,,51667.5,1565352.945,40632,860,,55800.9,1524838.17,40632,791.2
51686,15753.8923,9.801801926,,,51686,40789,838,,51686,1565171.335,40789,838,,55820.88,1524642.06,40789,770.96
51704.8,15759.62254,9.801800163,,,51704.8,40947,815,,51704.8,1564986.78,40947,815,,55841.184,1524442.77,40947,749.8
51724,15765.4747,9.801798363,,,51724,41105,792,,51724,1564798.298,41105,792,,55861.92,1524239.24,41105,728.64
51743.7,15771.47926,9.801796515,,,51743.7,41263,768,,51743.7,1564604.908,41263,768,,55883.196,1524030.41,41263,706.56
51763.8,15777.60574,9.801794631,,,51763.8,41421,745,,51763.8,1564407.591,41421,745,,55904.904,1523817.34,41421,685.4
51784.5,15783.91509,9.80179269,,,51784.5,41579,720,,51784.5,1564204.384,41579,720,,55927.26,1523597.909,41579,662.4
51805.7,15790.37685,9.801790702,,,51805.7,41737,696,,51805.7,1563996.269,41737,696,,55950.156,1523373.178,41737,640.32
51827.5,15797.02149,9.801788658,,,51827.5,41895,671,,51827.5,1563782.263,41895,671,,55973.7,1523142.087,41895,617.32
51849.9,15803.84901,9.801786558,,,51849.9,42053,645,,51849.9,1563562.368,42053,645,,55997.892,1522904.636,42053,593.4
51873.1,15810.92037,9.801784382,,,51873.1,42211,619,,51873.1,1563334.62,42211,619,,56022.948,1522658.705,42211,569.48
51897.1,15818.23557,9.801782132,,,51897.1,42368,593,,51897.1,1563099.018,42368,593,,56048.868,1522404.293,42368,545.56
51922,15825.82509,9.801779797,,,51922,42526,566,,51922,1562854.582,42526,566,,56075.76,1522140.341,42526,520.72
51947.9,15833.71941,9.801777369,,,51947.9,42684,539,,51947.9,1562600.328,42684,539,,56103.732,1521865.788,42684,495.88
51975,15841.97949,9.801774828,,,51975,42842,511,,51975,1562334.295,42842,511,,56133,1521578.515,42842,470.12
52003.3,15850.60533,9.801772174,,,52003.3,43000,483,,52003.3,1562056.482,43000,483,,56163.564,1521278.522,43000,444.36
35,10.66799966,9.806646716,7400 NM,196454,0,35,2804,,0,1926554.974,35,2804,,0,1926554.974,35,2579.68
198,60.35039807,9.806631421,,,17.5,198,2796,,17.5,1926380.353,198,2796,,18.9,1926366.624,198,2572.32
361,110.0327965,9.806616126,,,35,361,2788,,35,1926205.733,361,2788,,37.8,1926178.274,361,2564.96
523,159.4103949,9.806600925,,,52.4,523,2779,,52.4,1926032.112,523,2779,,56.592,1925991.003,523,2556.68
686,209.0927933,9.806585631,,,69.9,686,2771,,69.9,1925857.493,686,2771,,75.492,1925802.655,686,2549.32
849,258.7751917,9.806570336,,,87.3,849,2763,,87.3,1925683.855,849,2763,,94.284,1925615.366,849,2541.96
1012,308.4575901,9.806555041,,,104.7,1012,2755,,104.7,1925510.218,1012,2755,,113.076,1925428.078,1012,2534.6
1174,357.8351885,9.806539841,,,122.2,1174,2747,,122.2,1925335.619,1174,2747,,131.976,1925239.75,1174,2527.24
1337,407.517587,9.806524546,,,139.6,1337,2738,,139.6,1925161.982,1337,2738,,150.768,1925052.463,1337,2518.96
1500,457.1999854,9.806509251,,,157,1500,2730,,157,1924988.347,1500,2730,,169.56,1924865.177,1500,2511.6
1500,457.1999854,9.806509251,,,296.7,1500,3698,,296.7,1923618.377,1500,3698,,320.436,1923385.61,1500,3402.16
1947,593.445581,9.806467309,,,330.9,1947,3669,,330.9,1923274.769,1947,3669,,357.372,1923015.172,1947,3375.48
2395,729.9959766,9.806425273,,,365,2395,3640,,365,1922932.125,2395,3640,,394.2,1922645.778,2395,3348.8
2842,866.2415723,9.806383331,,,399.1,2842,3611,,399.1,1922589.503,2842,3611,,431.028,1922276.405,2842,3322.12
3289,1002.487168,9.806341389,,,433.2,3289,3582,,433.2,1922246.884,3289,3582,,467.856,1921907.036,3289,3295.44
3737,1139.037564,9.806299354,,,467.3,3737,3552,,467.3,1921904.25,3737,3552,,504.684,1921537.651,3737,3267.84
4184,1275.283159,9.806257413,,,501.3,4184,3522,,501.3,1921562.617,4184,3522,,541.404,1921169.347,4184,3240.24
4632,1411.833555,9.806215378,,,535.4,4632,3492,,535.4,1921219.988,4632,3492,,578.232,1920799.968,4632,3212.64
5079,1548.07915,9.806173438,,,569.4,5079,3461,,569.4,1920878.361,5079,3461,,614.952,1920431.671,5079,3184.12
5526,1684.324746,9.806131497,,,603.5,5526,3428,,603.5,1920535.757,5526,3428,,651.78,1920062.317,5526,3153.76
5974,1820.875142,9.806089463,,,637.5,5974,3396,,637.5,1920194.117,5974,3396,,688.5,1919694.007,5974,3124.32
6421,1957.120737,9.806047524,,,671.6,6421,3362,,671.6,1919851.519,6421,3362,,725.328,1919324.659,6421,3093.04
6868,2093.366333,9.806005584,,,705.7,6868,3328,,705.7,1919508.923,6868,3328,,762.156,1918955.315,6868,3061.76
7316,2229.916729,9.805963551,,,739.8,7316,3294,,739.8,1919166.312,7316,3294,,798.984,1918585.955,7316,3030.48
7763,2366.162324,9.805921612,,,773.9,7763,3260,,773.9,1918823.722,7763,3260,,835.812,1918216.617,7763,2999.2
8211,2502.71272,9.805879579,,,808.1,8211,3225,,808.1,1918480.136,8211,3225,,872.748,1917846.205,8211,2967
8658,2638.958316,9.805837641,,,842.4,8658,3190,,842.4,1918135.59,8658,3190,,909.792,1917474.755,8658,2934.8
9105,2775.203911,9.805795703,,,876.7,9105,3154,,876.7,1917791.048,9105,3154,,946.836,1917103.309,9105,2901.68
9553,2911.754307,9.805753671,,,911,9553,3118,,911,1917446.49,9553,3118,,983.88,1916731.847,9553,2868.56
10000,3047.999902,9.805711733,,,945.4,10000,3082,,945.4,1917100.973,10000,3082,,1021.032,1916359.347,10000,2835.44
10000,3047.999902,9.805711733,,,1043.2,10000,3115,,1043.2,1916141.974,10000,3115,,1126.656,1915323.629,10000,2865.8
11241,3426.25669,9.805595304,,,1141,11241,3001,,1141,1915160.236,11241,3001,,1232.28,1914265.181,11241,2760.92
12482,3804.513478,9.805478877,,,1239.9,12482,2885,,1239.9,1914167.734,12482,2885,,1339.092,1913195.109,12482,2654.2
13723,4182.770266,9.805362451,,,1340.1,13723,2767,,1340.1,1913162.509,13723,2767,,1447.308,1912111.295,13723,2545.64
14964,4561.027054,9.805246028,,,1441.7,14964,2647,,1441.7,1912143.58,14964,2647,,1557.036,1911012.682,14964,2435.24
16205,4939.283842,9.805129607,,,1544.9,16205,2528,,1544.9,1911108.987,16205,2528,,1668.492,1909897.151,16205,2325.76
17446,5317.54063,9.805013188,,,1649.8,17446,2419,,1649.8,1910057.75,17446,2419,,1781.784,1908763.645,17446,2225.48
18687,5695.797418,9.804896771,,,1756.7,18687,2309,,1756.7,1908986.928,18687,2309,,1897.236,1907608.987,18687,2124.28
19927,6073.749406,9.804780449,,,1865.6,19927,2198,,1865.6,1907896.54,19927,2198,,2014.848,1906433.196,19927,2022.16
21168,6452.006194,9.804664036,,,1977,21168,2093,,1977,1906781.648,21168,2093,,2135.16,1905230.942,21168,1925.56
22409,6830.262981,9.804547626,,,2090.8,22409,1987,,2090.8,1905643.251,22409,1987,,2258.064,1904003.303,22409,1828.04
23650,7208.519769,9.804431217,,,2207.6,23650,1882,,2207.6,1904475.468,23650,1882,,2384.208,1902743.927,23650,1731.44
24891,7586.776557,9.80431481,,,2327.6,24891,1779,,2327.6,1903276.339,24891,1779,,2513.808,1901450.697,24891,1636.68
26132,7965.033345,9.804198406,,,2451.4,26132,1669,,2451.4,1902039.982,26132,1669,,2647.512,1900117.261,26132,1535.48
27373,8343.290133,9.804082003,,,2579.5,27373,1559,,2579.5,1900761.496,27373,1559,,2785.86,1898738.326,27373,1434.28
28614,8721.546921,9.803965603,,,2712.5,28614,1451,,2712.5,1899435.002,28614,1451,,2929.5,1897307.541,28614,1334.92
29855,9099.803709,9.803849204,,,2851.3,29855,1344,,2851.3,1898051.676,29855,1344,,3079.404,1895815.379,29855,1236.48
31096,9478.060497,9.803732808,,,2997.2,31096,1222,,2997.2,1896598.777,31096,1222,,3236.976,1894248.077,31096,1124.24
32337,9856.317285,9.803616414,,,3152,32337,1107,,3152,1895058.66,32337,1107,,3404.16,1892586.58,32337,1018.44
33578,10234.57407,9.803500021,,,3317.6,33578,999,,3317.6,1893412.702,33578,999,,3583.008,1890810.774,33578,919.08
33578,10234.57407,9.803500021,,,3317.6,33578,1463,,3317.6,1893412.702,33578,1463,,3583.008,1890810.774,33578,1345.96
33810,10305.28767,9.803478263,,,3339.7,33810,1439,,3339.7,1893191.842,33810,1439,,3606.876,1890572.588,33810,1323.88
34043,10376.30607,9.80345641,,,3361.9,34043,1414,,3361.9,1892969.985,34043,1414,,3630.852,1890333.326,34043,1300.88
34276,10447.32447,9.803434558,,,3384.3,34276,1389,,3384.3,1892746.169,34276,1389,,3655.044,1890091.948,34276,1277.88
34509,10518.34286,9.803412705,,,3407,34509,1364,,3407,1892519.413,34509,1364,,3679.56,1889847.394,34509,1254.88
34741,10589.05646,9.803390947,,,3429.8,34741,1339,,3429.8,1892291.695,34741,1339,,3704.184,1889601.801,34741,1231.88
34974,10660.07486,9.803369094,,,3452.9,34974,1313,,3452.9,1892061.019,34974,1313,,3729.132,1889353.015,34974,1207.96
35207,10731.09326,9.803347242,,,3476.3,35207,1279,,3476.3,1891827.403,35207,1279,,3754.404,1889101.053,35207,1176.68
35440,10802.11165,9.80332539,,,3500.1,35440,1243,,3500.1,1891589.867,35440,1243,,3780.108,1888844.857,35440,1143.56
35672,10872.82525,9.803303632,,,3524.2,35672,1207,,3524.2,1891349.409,35672,1207,,3806.136,1888585.505,35672,1110.44
35905,10943.84365,9.80328178,,,3548.8,35905,1171,,3548.8,1891104.032,35905,1171,,3832.704,1888320.842,35905,1077.32
36138,11014.86205,9.803259928,,,3575.1,36138,1028,,3575.1,1890841.991,36138,1028,,3861.108,1888038.181,36138,945.76
36371,11085.88045,9.803238076,,,3603.3,36371,995,,3603.3,1890561.325,36371,995,,3891.564,1887735.405,36371,915.4
36603,11156.59404,9.803216318,,,3632.2,36603,961,,3632.2,1890273.816,36603,961,,3922.776,1887425.237,36603,884.12
36836,11227.61244,9.803194467,,,3661.7,36836,926,,3661.7,1889980.409,36836,926,,3954.636,1887108.7,36836,851.92
37069,11298.63084,9.803172615,,,3692.1,37069,891,,3692.1,1889678.179,37069,891,,3987.468,1886782.636,37069,819.72
37302,11369.64924,9.803150764,,,3723.2,37302,855,,3723.2,1889369.089,37302,855,,4021.056,1886449.162,37302,786.6
37534,11440.36283,9.803129006,,,3755.4,37534,819,,3755.4,1889049.235,37534,819,,4055.832,1886104.061,37534,753.48
37767,11511.38123,9.803107155,,,3788.6,37767,781,,3788.6,1888719.561,37767,781,,4091.688,1885748.357,37767,718.52
38000,11582.39963,9.803085303,,,3823,38000,743,,3823,1888378.125,38000,743,,4128.84,1885379.949,38000,683.56
38000,11582.39963,9.803085303,,,14544.6,38000,887,,14544.6,1783273.366,38000,887,,15708.168,1771866.809,38000,816.04
38105,11614.40363,9.803075456,,,14558.2,38105,869,,14558.2,1783138.253,38105,869,,15722.856,1771721.042,38105,799.48
38211,11646.71243,9.803065515,,,14571.9,38211,852,,14571.9,1783002.142,38211,852,,15737.652,1771574.199,38211,783.84
38316,11678.71643,9.803055668,,,14585.8,38316,834,,14585.8,1782864.089,38316,834,,15752.664,1771425.256,38316,767.28
38421,11710.72043,9.803045821,,,14600,38421,816,,14600,1782723.095,38421,816,,15768,1771273.137,38421,750.72
38526,11742.72442,9.803035974,,,14614.3,38526,798,,14614.3,1782581.121,38526,798,,15783.444,1771119.96,38526,734.16
38632,11775.03322,9.803026033,,,14628.9,38632,779,,14628.9,1782436.189,38632,779,,15799.212,1770963.59,38632,716.68
38737,11807.03722,9.803016186,,,14643.8,38737,761,,14643.8,1782288.333,38737,761,,15815.304,1770804.061,38737,700.12
38842,11839.04122,9.803006339,,,14659,38842,742,,14659,1782137.537,38842,742,,15831.72,1770641.356,38842,682.64
38947,11871.04522,9.802996492,,,14674.4,38947,723,,14674.4,1781984.781,38947,723,,15848.352,1770476.534,38947,665.16
39053,11903.35402,9.802986551,,,14690.1,39053,706,,14690.1,1781829.067,39053,706,,15865.308,1770308.519,39053,649.52
39158,11935.35802,9.802976704,,,14706.1,39158,692,,14706.1,1781670.43,39158,692,,15882.588,1770137.345,39158,636.64
39263,11967.36202,9.802966857,,,14722.4,39263,677,,14722.4,1781508.852,39263,677,,15900.192,1769962.996,39263,622.84
39368,11999.36602,9.80295701,,,14739,39368,662,,14739,1781344.333,39368,662,,15918.12,1769785.47,39368,609.04
39474,12031.67481,9.80294707,,,14755.9,39474,646,,14755.9,1781176.857,39474,646,,15936.372,1769604.752,39474,594.32
39579,12063.67881,9.802937223,,,14773.1,39579,631,,14773.1,1781006.457,39579,631,,15954.948,1769420.876,39579,580.52
39684,12095.68281,9.802927376,,,14790.7,39684,615,,14790.7,1780832.137,39684,615,,15973.956,1769232.764,39684,565.8
39789,12127.68681,9.802917529,,,14808.7,39789,599,,14808.7,1780653.895,39789,599,,15993.396,1769040.418,39789,551.08
39895,12159.99561,9.802907588,,,14827.1,39895,583,,14827.1,1780471.716,39895,583,,16013.268,1768843.821,39895,536.36
40000,12191.99961,9.802897741,,,14845.8,40000,567,,14845.8,1780286.614,40000,567,,16033.464,1768644.065,40000,521.64
40000,12191.99961,9.802897741,,,36713.2,40000,948,,36713.2,1565922.728,40000,948,,39650.256,1537131.068,40000,872.16
40158,12240.15801,9.802882924,,,36730.4,40158,926,,36730.4,1565751.751,40158,926,,39668.832,1536946.646,40158,851.92
40316,12288.31641,9.802868107,,,36747.9,40316,905,,36747.9,1565577.834,40316,905,,39687.732,1536759.049,40316,832.6
40474,12336.47481,9.80285329,,,36765.7,40474,883,,36765.7,1565400.977,40474,883,,39706.956,1536568.276,40474,812.36
40632,12384.6332,9.802838473,,,36783.8,40632,861,,36783.8,1565221.18,40632,861,,39726.504,1536374.328,40632,792.12
40789,12432.4868,9.80282375,,,36802.2,40789,838,,36802.2,1565038.457,40789,838,,39746.376,1536177.218,40789,770.96
40947,12480.6452,9.802808933,,,36821,40947,816,,36821,1564851.798,40947,816,,39766.68,1535975.86,40947,750.72
41105,12528.8036,9.802794116,,,36840.3,41105,792,,36840.3,1564660.239,41105,792,,39787.524,1535769.209,41105,728.64
41263,12576.962,9.802779299,,,36859.9,41263,769,,36859.9,1564465.74,41263,769,,39808.692,1535559.383,41263,707.48
41421,12625.1204,9.802764482,,,36880,41421,745,,36880,1564266.339,41421,745,,39830.4,1535344.263,41421,685.4
41579,12673.27879,9.802749665,,,36900.7,41579,721,,36900.7,1564061.058,41579,721,,39852.756,1535122.792,41579,663.32
41737,12721.43719,9.802734848,,,36921.8,41737,696,,36921.8,1563851.856,41737,696,,39875.544,1534897.087,41737,640.32
41895,12769.59559,9.802720032,,,36943.6,41895,671,,36943.6,1563635.793,41895,671,,39899.088,1534663.972,41895,617.32
42053,12817.75399,9.802705215,,,36966,42053,646,,36966,1563413.849,42053,646,,39923.28,1534424.505,42053,594.32
42211,12865.91239,9.802690398,,,36989.2,42211,620,,36989.2,1563184.064,42211,620,,39948.336,1534176.57,42211,570.4
42368,12913.76599,9.802675675,,,37013.2,42368,594,,37013.2,1562946.452,42368,594,,39974.256,1533920.18,42368,546.48
42526,12961.92439,9.802660859,,,37038.1,42526,567,,37038.1,1562700.003,42526,567,,40001.148,1533654.249,42526,521.64
42684,13010.08278,9.802646042,,,37064,42684,540,,37064,1562443.753,42684,540,,40029.12,1533377.731,42684,496.8
42842,13058.24118,9.802631225,,,37091,42842,512,,37091,1562176.72,42842,512,,40058.28,1533089.568,42842,471.04
43000,13106.39958,9.802616409,,,37119.3,43000,484,,37119.3,1561896.945,43000,484,,40088.844,1532787.644,43000,445.28
,,,,,,,,,,,,,,,,,
Altitude (feet) ,Altitude (m)*,Adjusted G*,,,Fuel Burnt (kg) ,Altitude (feet) ,ROC (feet/min) ,,Fuel Burnt (kg) ,Weight (N)*,Altitude (feet) ,ROC (feet/min),,Fuel Burnt (kg)* ,Weight (N)*,Altitude (feet) ,ROC (feet/min)*
35,10.66799966,9.806646716,500 NM,130228,0,35,4195,,0,1277099.989,35,4195,,0,1277099.989,35,3859.4
198,60.35039807,9.806631421,,,11.6,198,4186,,11.6,1276984.24,198,4186,,12.528,1276975.139,198,3851.12
361,110.0327965,9.806616126,,,23.2,361,4177,,23.2,1276868.491,361,4177,,25.056,1276850.29,361,3842.84
523,159.4103949,9.806600925,,,34.7,523,4169,,34.7,1276753.736,523,4169,,37.476,1276726.513,523,3835.48
686,209.0927933,9.806585631,,,46.3,686,4160,,46.3,1276637.989,686,4160,,50.004,1276601.665,686,3827.2
849,258.7751917,9.806570336,,,57.8,849,4151,,57.8,1276523.222,849,4151,,62.424,1276477.876,849,3818.92
1012,308.4575901,9.806555041,,,69.3,1012,4142,,69.3,1276408.456,1012,4142,,74.844,1276354.088,1012,3810.64
1174,357.8351885,9.806539841,,,80.8,1174,4133,,80.8,1276293.702,1174,4133,,87.264,1276230.312,1174,3802.36
1337,407.517587,9.806524546,,,92.3,1337,4124,,92.3,1276178.936,1337,4124,,99.684,1276106.525,1337,3794.08
1500,457.1999854,9.806509251,,,103.7,1500,4115,,103.7,1276065.152,1500,4115,,111.996,1275983.797,1500,3785.8
1500,457.1999854,9.806509251,,,209.5,1500,5955,,209.5,1275027.623,1500,5955,,226.26,1274863.266,1500,5478.6
1947,593.445581,9.806467309,,,230.7,1947,5914,,230.7,1274814.273,1947,5914,,249.156,1274633.285,1947,5440.88
2395,729.9959766,9.806425273,,,251.9,2395,5872,,251.9,1274600.912,2395,5872,,272.052,1274403.293,2395,5402.24
2842,866.2415723,9.806383331,,,273,2842,5831,,273,1274388.546,2842,5831,,294.84,1274174.374,2842,5364.52
3289,1002.487168,9.806341389,,,294.1,3289,5789,,294.1,1274176.181,3289,5789,,317.628,1273945.458,3289,5325.88
3737,1139.037564,9.806299354,,,315.2,3737,5746,,315.2,1273963.807,3737,5746,,340.416,1273716.531,3737,5286.32
4184,1275.283159,9.806257413,,,336.2,4184,5703,,336.2,1273752.427,4184,5703,,363.096,1273488.678,4184,5246.76
4632,1411.833555,9.806215378,,,357.2,4632,5660,,357.2,1273541.036,4632,5660,,385.776,1273260.814,4632,5207.2
5079,1548.07915,9.806173438,,,378.2,5079,5616,,378.2,1273329.66,5079,5616,,408.456,1273032.964,5079,5166.72
5526,1684.324746,9.806131497,,,399.2,5526,5569,,399.2,1273118.285,5526,5569,,431.136,1272805.116,5526,5123.48
5974,1820.875142,9.806089463,,,420.1,5974,5521,,420.1,1272907.88,5974,5521,,453.708,1272578.317,5974,5079.32
6421,1957.120737,9.806047524,,,441.1,6421,5474,,441.1,1272696.509,6421,5474,,476.388,1272350.474,6421,5036.08
6868,2093.366333,9.806005584,,,462,6868,5425,,462,1272486.121,6868,5425,,498.96,1272123.691,6868,4991
7316,2229.916729,9.805963551,,,482.9,7316,5376,,482.9,1272275.722,7316,5376,,521.532,1271896.898,7316,4945.92
7763,2366.162324,9.805921612,,,503.8,7763,5327,,503.8,1272065.336,7763,5327,,544.104,1271670.119,7763,4900.84
8211,2502.71272,9.805879579,,,524.7,8211,5276,,524.7,1271854.941,8211,5276,,566.676,1271443.329,8211,4853.92
8658,2638.958316,9.805837641,,,545.6,8658,5226,,545.6,1271644.559,8658,5226,,589.248,1271216.554,8658,4807.92
9105,2775.203911,9.805795703,,,566.6,9105,5175,,566.6,1271433.199,9105,5175,,611.928,1270988.722,9105,4761
9553,2911.754307,9.805753671,,,587.5,9553,5123,,587.5,1271222.809,9553,5123,,634.5,1270761.938,9553,4713.16
10000,3047.999902,9.805711733,,,608.4,10000,5070,,608.4,1271012.433,10000,5070,,657.072,1270535.169,10000,4664.4
10000,3047.999902,9.805711733,,,657.9,10000,5032,,657.9,1270527.05,10000,5032,,710.532,1270010.956,10000,4629.44
11339,3456.127089,9.80558611,,,722.8,11339,4857,,722.8,1269874.39,11339,4857,,780.624,1269307.392,11339,4468.44
12678,3864.254276,9.805460488,,,788.1,12678,4678,,788.1,1269217.825,12678,4678,,851.148,1268599.61,12678,4303.76
14017,4272.381463,9.80533487,,,853.9,14017,4496,,853.9,1268556.374,14017,4496,,922.212,1267886.552,14017,4136.32
15356,4680.50865,9.805209253,,,920.5,15356,4310,,920.5,1267887.096,15356,4310,,994.14,1267165.04,15356,3965.2
16694,5088.331037,9.805083733,,,987.8,16694,4125,,987.8,1267210.983,16694,4125,,1066.824,1266436.146,16694,3795
18033,5496.458224,9.804958121,,,1056,18033,3943,,1056,1266526.05,18033,3943,,1140.48,1265697.728,18033,3627.56
19372,5904.585411,9.804832512,,,1125.2,19372,3772,,1125.2,1265831.331,19372,3772,,1215.216,1264948.739,19372,3470.24
20711,6312.712598,9.804706905,,,1195.4,20711,3605,,1195.4,1265126.824,20711,3605,,1291.032,1264189.181,20711,3316.6
22050,6720.839785,9.804581301,,,1266.7,22050,3441,,1266.7,1264411.551,22050,3441,,1368.036,1263417.993,22050,3165.72
23389,7128.966972,9.804455699,,,1339.4,23389,3278,,1339.4,1263682.569,23389,3278,,1446.552,1262632.002,23389,3015.76
24728,7537.094159,9.8043301,,,1413.4,24728,3115,,1413.4,1262940.86,24728,3115,,1526.472,1261832.265,24728,2865.8
26067,7945.221346,9.804204502,,,1489.1,26067,2941,,1489.1,1262182.503,26067,2941,,1608.228,1261014.548,26067,2705.72
27405,8353.043733,9.804079002,,,1566.7,27405,2768,,1566.7,1261405.55,27405,2768,,1692.036,1260176.746,27405,2546.56
28744,8761.17092,9.803953409,,,1646.4,28744,2599,,1646.4,1260608.016,28744,2599,,1778.112,1259316.717,28744,2391.08
30083,9169.298107,9.803827819,,,1728.5,30083,2429,,1728.5,1259786.973,30083,2429,,1866.78,1258431.3,30083,2234.68
31422,9577.425294,9.803702232,,,1813.6,31422,2232,,1813.6,1258936.54,31422,2232,,1958.688,1257514.14,31422,2053.44
32761,9985.55248,9.803576647,,,1902.3,32761,2050,,1902.3,1258050.836,32761,2050,,2054.484,1256558.888,32761,1886
34100,10393.67967,9.803451064,,,1994.8,34100,1895,,1994.8,1257127.901,34100,1895,,2154.384,1255563.427,34100,1743.4
35439,10801.80685,9.803325484,,,2092,35439,1739,,2092,1256158.914,35439,1739,,2259.36,1254518.23,35439,1599.88
35439,10801.80685,9.803325484,,,2092,35439,2569,,2092,1256158.914,35439,2569,,2259.36,1254518.23,35439,2363.48
35837,10923.11725,9.803288157,,,2112.2,35837,2492,,2112.2,1255956.105,35837,2492,,2281.176,1254299.584,35837,2292.64
